Year;Age1;Age2;Female;Male;Total
1899;   ;0;64059;79768;143827
1899;   ;1;12119;12822;24941
1899;   ;2;6983;7014;13997
1899;   ;3;4329;4470;8799
1899;   ;4;3220;3111;6331
1899;   ;5;2284;2222;4506
1899;   ;6;1834;1773;3607
1899;   ;7;1475;1460;2935
1899;   ;8;1353;1296;2649
1899;   ;9;1175;1180;2355
1899;1;0;1175;1051;2226
1899;1;1;1162;1050;2212
1899;1;2;1100;1011;2111
1899;1;3;1251;987;2238
1899;1;4;1373;1137;2510
1899;1;5;1535;1230;2765
1899;1;6;1693;1493;3186
1899;1;7;1871;1795;3666
1899;1;8;1986;1982;3968
1899;1;9;1959;2043;4002
1899;2;0;2187;2364;4551
1899;2;1;2193;2724;4917
1899;2;2;2377;2936;5313
1899;2;3;2370;2601;4971
1899;2;4;2291;2568;4859
1899;2;5;2390;2291;4681
1899;2;6;2393;2460;4853
1899;2;7;2135;2191;4326
1899;2;8;2201;2183;4384
1899;2;9;2151;2139;4290
1899;3;0;2250;2314;4564
1899;3;1;2116;2277;4393
1899;3;2;2383;2552;4935
1899;3;3;2277;2506;4783
1899;3;4;2261;2536;4797
1899;3;5;2385;2605;4990
1899;3;6;2392;2844;5236
1899;3;7;2322;2710;5032
1899;3;8;2437;2841;5278
1899;3;9;2297;2711;5008
1899;4;0;2406;3121;5527
1899;4;1;2054;2710;4764
1899;4;2;2309;2995;5304
1899;4;3;2296;2860;5156
1899;4;4;2207;2899;5106
1899;4;5;2403;3153;5556
1899;4;6;2416;3232;5648
1899;4;7;2493;3263;5756
1899;4;8;2761;3602;6363
1899;4;9;2673;3397;6070
1899;5;0;2974;3732;6706
1899;5;1;2786;3401;6187
1899;5;2;2997;3885;6882
1899;5;3;3130;3847;6977
1899;5;4;3161;4217;7378
1899;5;5;3416;4323;7739
1899;5;6;3679;4512;8191
1899;5;7;3769;4722;8491
1899;5;8;4126;5067;9193
1899;5;9;3944;4921;8865
1899;6;0;4673;5542;10215
1899;6;1;4274;5050;9324
1899;6;2;4959;5575;10534
1899;6;3;5345;5904;11249
1899;6;4;5547;6042;11589
1899;6;5;5905;6257;12162
1899;6;6;5955;6232;12187
1899;6;7;6125;6402;12527
1899;6;8;6793;7083;13876
1899;6;9;6865;7173;14038
1899;7;0;7656;7508;15164
1899;7;1;6991;7298;14289
1899;7;2;8007;8059;16066
1899;7;3;7708;7756;15464
1899;7;4;7757;7781;15538
1899;7;5;8160;7851;16011
1899;7;6;7821;7158;14979
1899;7;7;7339;6979;14318
1899;7;8;7607;7067;14674
1899;7;9;7055;6534;13589
1899;8;0;7153;6254;13407
1899;8;1;5454;4744;10198
1899;8;2;5835;4900;10735
1899;8;3;5232;4374;9606
1899;8;4;4860;3849;8709
1899;8;5;3853;2995;6848
1899;8;6;3243;2462;5705
1899;8;7;2770;2045;4815
1899;8;8;2180;1441;3621
1899;8;9;1512;1029;2541
1899;9;0;1274;828;2102
1899;9;1;1015;567;1582
1899;9;2;699;398;1097
1899;9;3;547;262;809
1899;9;4;270;176;446
1899;9;5;219;97;316
1899;9;6;143;57;200
1899;9;7;95;37;132
1899;9;8;55;21;76
1899;9;9;34;13;47
1899;10;0;19;7;90
1899;10;1;20;10;0
1899;10;2;15;5;0
1899;10;3;10;0;0
1899;10;4;4;0;0
1899;10;5;0;0;0
1899;10;6;0;0;0
1899;10;7;0;0;0
1899;10;8;0;0;0
1899;10;9;0;0;0
1899;11;0;0;0;0
1899;11;1;0;0;0
1899;11;2;0;0;0
1899;11;3;0;0;0
1899;11;4;0;0;0
1899;11;5;0;0;0
1899;11;6;0;0;0
1899;11;7;0;0;0
1899;11;8;0;0;0
1899;11;9;0;0;0
1900;   ;0;61622;76839;138461
1900;   ;1;11291;11944;23235
1900;   ;2;6090;6513;12603
1900;   ;3;3953;4066;8019
1900;   ;4;3063;2973;6036
1900;   ;5;2149;2108;4257
1900;   ;6;1836;1789;3625
1900;   ;7;1534;1536;3070
1900;   ;8;1358;1294;2652
1900;   ;9;1225;1111;2336
1900;1;0;1114;1033;2147
1900;1;1;1055;971;2026
1900;1;2;1254;1061;2315
1900;1;3;1283;1001;2284
1900;1;4;1330;1061;2391
1900;1;5;1602;1277;2879
1900;1;6;1718;1589;3307
1900;1;7;1792;1815;3607
1900;1;8;2020;2065;4085
1900;1;9;1939;2146;4085
1900;2;0;2116;2348;4464
1900;2;1;2269;2783;5052
1900;2;2;2329;2993;5322
1900;2;3;2412;2676;5088
1900;2;4;2442;2558;5000
1900;2;5;2496;2440;4936
1900;2;6;2485;2497;4982
1900;2;7;2485;2500;4985
1900;2;8;2225;2329;4554
1900;2;9;2255;2169;4424
1900;3;0;2356;2488;4844
1900;3;1;2235;2350;4585
1900;3;2;2347;2617;4964
1900;3;3;2399;2620;5019
1900;3;4;2340;2756;5096
1900;3;5;2468;2900;5368
1900;3;6;2475;2939;5414
1900;3;7;2455;3071;5526
1900;3;8;2422;3009;5431
1900;3;9;2480;3112;5592
1900;4;0;2516;3356;5872
1900;4;1;2268;3207;5475
1900;4;2;2550;3280;5830
1900;4;3;2405;3206;5611
1900;4;4;2333;3111;5444
1900;4;5;2513;3492;6005
1900;4;6;2562;3469;6031
1900;4;7;2767;3722;6489
1900;4;8;2984;3888;6872
1900;4;9;2933;3902;6835
1900;5;0;3145;4161;7306
1900;5;1;3017;3862;6879
1900;5;2;3378;4160;7538
1900;5;3;3284;3934;7218
1900;5;4;3463;4390;7853
1900;5;5;3798;4824;8622
1900;5;6;4015;4939;8954
1900;5;7;4057;5096;9153
1900;5;8;4447;5672;10119
1900;5;9;4420;5504;9924
1900;6;0;5227;6202;11429
1900;6;1;4694;5560;10254
1900;6;2;5399;6116;11515
1900;6;3;5627;6499;12126
1900;6;4;6141;6592;12733
1900;6;5;6586;6997;13583
1900;6;6;6674;6928;13602
1900;6;7;6642;7231;13873
1900;6;8;7488;7281;14769
1900;6;9;7326;7676;15002
1900;7;0;8759;8732;17491
1900;7;1;7272;7742;15014
1900;7;2;8432;8677;17109
1900;7;3;8224;8223;16447
1900;7;4;8405;8307;16712
1900;7;5;8589;8502;17091
1900;7;6;8621;7924;16545
1900;7;7;7985;7540;15525
1900;7;8;8055;7488;15543
1900;7;9;7490;7005;14495
1900;8;0;8088;6999;15087
1900;8;1;6253;5531;11784
1900;8;2;5997;5079;11076
1900;8;3;5502;4565;10067
1900;8;4;5275;4233;9508
1900;8;5;4030;3188;7218
1900;8;6;3399;2626;6025
1900;8;7;2904;2181;5085
1900;8;8;2284;1538;3822
1900;8;9;1584;1098;2682
1900;9;0;1336;881;2217
1900;9;1;1064;604;1668
1900;9;2;733;424;1157
1900;9;3;573;278;851
1900;9;4;283;189;472
1900;9;5;230;104;334
1900;9;6;148;61;209
1900;9;7;100;40;140
1900;9;8;58;23;81
1900;9;9;36;15;51
1900;10;0;39;28;270
1900;10;1;55;50;0
1900;10;2;35;35;0
1900;10;3;15;4;0
1900;10;4;9;0;0
1900;10;5;0;0;0
1900;10;6;0;0;0
1900;10;7;0;0;0
1900;10;8;0;0;0
1900;10;9;0;0;0
1900;11;0;0;0;0
1900;11;1;0;0;0
1900;11;2;0;0;0
1900;11;3;0;0;0
1900;11;4;0;0;0
1900;11;5;0;0;0
1900;11;6;0;0;0
1900;11;7;0;0;0
1900;11;8;0;0;0
1900;11;9;0;0;0
1901;   ;0;56421;70861;127282
1901;   ;1;10293;10953;21246
1901;   ;2;5853;6179;12032
1901;   ;3;3748;3797;7545
1901;   ;4;2936;2886;5822
1901;   ;5;2172;2120;4292
1901;   ;6;1761;1659;3420
1901;   ;7;1493;1463;2956
1901;   ;8;1255;1277;2532
1901;   ;9;1154;1160;2314
1901;1;0;1063;1022;2085
1901;1;1;1038;933;1971
1901;1;2;1076;972;2048
1901;1;3;1190;1014;2204
1901;1;4;1271;1031;2302
1901;1;5;1480;1227;2707
1901;1;6;1671;1386;3057
1901;1;7;1741;1619;3360
1901;1;8;1780;1860;3640
1901;1;9;1836;1970;3806
1901;2;0;2116;2174;4290
1901;2;1;2091;2590;4681
1901;2;2;2284;2789;5073
1901;2;3;2249;2633;4882
1901;2;4;2344;2372;4716
1901;2;5;2417;2363;4780
1901;2;6;2354;2419;4773
1901;2;7;2374;2238;4612
1901;2;8;2377;2326;4703
1901;2;9;2062;2053;4115
1901;3;0;2160;2239;4399
1901;3;1;2053;2251;4304
1901;3;2;2135;2408;4543
1901;3;3;2068;2369;4437
1901;3;4;2214;2442;4656
1901;3;5;2235;2629;4864
1901;3;6;2278;2751;5029
1901;3;7;2354;2875;5229
1901;3;8;2413;2902;5315
1901;3;9;2244;2868;5112
1901;4;0;2539;3110;5649
1901;4;1;2256;2979;5235
1901;4;2;2549;3048;5597
1901;4;3;2201;2988;5189
1901;4;4;2201;2968;5169
1901;4;5;2354;3229;5583
1901;4;6;2370;3203;5573
1901;4;7;2436;3346;5782
1901;4;8;2655;3460;6115
1901;4;9;2570;3659;6229
1901;5;0;2990;4112;7102
1901;5;1;2832;3739;6571
1901;5;2;3215;4028;7243
1901;5;3;3122;3943;7065
1901;5;4;3063;3942;7005
1901;5;5;3431;4348;7779
1901;5;6;3661;4679;8340
1901;5;7;3716;4729;8445
1901;5;8;3955;5129;9084
1901;5;9;3846;5082;8928
1901;6;0;4955;5697;10652
1901;6;1;4585;5385;9970
1901;6;2;4910;5797;10707
1901;6;3;5080;5777;10857
1901;6;4;5272;6010;11282
1901;6;5;5935;6590;12525
1901;6;6;6208;6638;12846
1901;6;7;6120;6559;12679
1901;6;8;6417;6681;13098
1901;6;9;6315;6604;12919
1901;7;0;7671;7744;15415
1901;7;1;7115;7359;14474
1901;7;2;7692;7621;15313
1901;7;3;7493;7602;15095
1901;7;4;7632;7699;15331
1901;7;5;7822;7590;15412
1901;7;6;7543;7100;14643
1901;7;7;7255;7008;14263
1901;7;8;7580;6836;14416
1901;7;9;6462;6100;12562
1901;8;0;6974;6303;13277
1901;8;1;5918;5158;11076
1901;8;2;5801;4935;10736
1901;8;3;4628;3884;8512
1901;8;4;4404;3646;8050
1901;8;5;3741;2913;6654
1901;8;6;3151;2390;5541
1901;8;7;2691;1983;4674
1901;8;8;2118;1398;3516
1901;8;9;1468;999;2467
1901;9;0;1237;802;2039
1901;9;1;986;549;1535
1901;9;2;679;387;1066
1901;9;3;530;254;784
1901;9;4;262;171;433
1901;9;5;213;94;307
1901;9;6;138;55;193
1901;9;7;93;36;129
1901;9;8;54;20;74
1901;9;9;34;13;47
1901;10;0;21;7;87
1901;10;1;20;10;0
1901;10;2;15;8;0
1901;10;3;6;0;0
1901;10;4;0;0;0
1901;10;5;0;0;0
1901;10;6;0;0;0
1901;10;7;0;0;0
1901;10;8;0;0;0
1901;10;9;0;0;0
1901;11;0;0;0;0
1901;11;1;0;0;0
1901;11;2;0;0;0
1901;11;3;0;0;0
1901;11;4;0;0;0
1901;11;5;0;0;0
1901;11;6;0;0;0
1901;11;7;0;0;0
1901;11;8;0;0;0
1901;11;9;0;0;0
1902;   ;0;56252;66530;122782
1902;   ;1;10616;11380;21996
1902;   ;2;5734;6006;11740
1902;   ;3;3654;3679;7333
1902;   ;4;2710;2745;5455
1902;   ;5;2020;2003;4023
1902;   ;6;1651;1577;3228
1902;   ;7;1420;1339;2759
1902;   ;8;1229;1187;2416
1902;   ;9;1008;1003;2011
1902;1;0;984;898;1882
1902;1;1;1020;873;1893
1902;1;2;1034;869;1903
1902;1;3;1126;903;2029
1902;1;4;1341;977;2318
1902;1;5;1391;1138;2529
1902;1;6;1591;1375;2966
1902;1;7;1694;1610;3304
1902;1;8;1809;1829;3638
1902;1;9;1880;1996;3876
1902;2;0;2025;2151;4176
1902;2;1;2016;2595;4611
1902;2;2;2201;2591;4792
1902;2;3;2278;2464;4742
1902;2;4;2232;2312;4544
1902;2;5;2248;2243;4491
1902;2;6;2370;2376;4746
1902;2;7;2253;2319;4572
1902;2;8;2324;2347;4671
1902;2;9;2277;2226;4503
1902;3;0;2162;2168;4330
1902;3;1;2063;2126;4189
1902;3;2;2182;2472;4654
1902;3;3;2072;2214;4286
1902;3;4;2104;2376;4480
1902;3;5;2237;2574;4811
1902;3;6;2219;2638;4857
1902;3;7;2212;2621;4833
1902;3;8;2311;2691;5002
1902;3;9;2287;2854;5141
1902;4;0;2217;2983;5200
1902;4;1;2244;2898;5142
1902;4;2;2525;3260;5785
1902;4;3;2307;3001;5308
1902;4;4;2297;3024;5321
1902;4;5;2317;3117;5434
1902;4;6;2339;3249;5588
1902;4;7;2362;3209;5571
1902;4;8;2504;3314;5818
1902;4;9;2511;3359;5870
1902;5;0;2768;3731;6499
1902;5;1;2822;3784;6606
1902;5;2;3187;3931;7118
1902;5;3;3012;3951;6963
1902;5;4;3128;3835;6963
1902;5;5;3068;4035;7103
1902;5;6;3510;4324;7834
1902;5;7;3505;4707;8212
1902;5;8;4025;4781;8806
1902;5;9;3964;5088;9052
1902;6;0;4515;5541;10056
1902;6;1;4357;5325;9682
1902;6;2;5097;5874;10971
1902;6;3;4839;5787;10626
1902;6;4;5026;5653;10679
1902;6;5;5665;6226;11891
1902;6;6;5816;6664;12480
1902;6;7;6063;6616;12679
1902;6;8;6453;6557;13010
1902;6;9;6281;6480;12761
1902;7;0;7083;7093;14176
1902;7;1;6899;7133;14032
1902;7;2;8000;7929;15929
1902;7;3;7387;7243;14630
1902;7;4;7365;7546;14911
1902;7;5;7574;7431;15005
1902;7;6;7358;6985;14343
1902;7;7;6957;6783;13740
1902;7;8;7290;6818;14108
1902;7;9;6404;6081;12485
1902;8;0;6495;5823;12318
1902;8;1;5586;5002;10588
1902;8;2;5892;4981;10873
1902;8;3;4717;4108;8825
1902;8;4;4116;3264;7380
1902;8;5;3665;2857;6522
1902;8;6;3087;2354;5441
1902;8;7;2638;1955;4593
1902;8;8;2075;1378;3453
1902;8;9;1438;985;2423
1902;9;0;1213;790;2003
1902;9;1;967;542;1509
1902;9;2;666;380;1046
1902;9;3;520;250;770
1902;9;4;257;169;426
1902;9;5;208;93;301
1902;9;6;135;55;190
1902;9;7;90;36;126
1902;9;8;53;20;73
1902;9;9;32;13;45
1902;10;0;19;7;87
1902;10;1;20;10;0
1902;10;2;15;5;0
1902;10;3;9;0;0
1902;10;4;2;0;0
1902;10;5;0;0;0
1902;10;6;0;0;0
1902;10;7;0;0;0
1902;10;8;0;0;0
1902;10;9;0;0;0
1902;11;0;0;0;0
1902;11;1;0;0;0
1902;11;2;0;0;0
1902;11;3;0;0;0
1902;11;4;0;0;0
1902;11;5;0;0;0
1902;11;6;0;0;0
1902;11;7;0;0;0
1902;11;8;0;0;0
1902;11;9;0;0;0
1903;   ;0;52573;66107;118681
1903;   ;1;10251;11129;21380
1903;   ;2;5673;5902;11575
1903;   ;3;3382;3528;6910
1903;   ;4;2500;2429;4929
1903;   ;5;1932;1834;3766
1903;   ;6;1664;1495;3159
1903;   ;7;1353;1332;2685
1903;   ;8;1251;1022;2273
1903;   ;9;1089;992;2081
1903;1;0;977;853;1830
1903;1;1;945;829;1774
1903;1;2;1023;883;1906
1903;1;3;1108;864;1972
1903;1;4;1294;917;2211
1903;1;5;1425;1152;2577
1903;1;6;1525;1325;2850
1903;1;7;1700;1534;3234
1903;1;8;1795;1895;3690
1903;1;9;1783;1881;3664
1903;2;0;2036;2169;4205
1903;2;1;2053;2444;4497
1903;2;2;2076;2595;4671
1903;2;3;2165;2433;4598
1903;2;4;2127;2257;4384
1903;2;5;2291;2297;4588
1903;2;6;2310;2167;4477
1903;2;7;2330;2364;4694
1903;2;8;2242;2243;4485
1903;2;9;2129;2210;4339
1903;3;0;2295;2335;4630
1903;3;1;2028;2071;4099
1903;3;2;2110;2234;4344
1903;3;3;2096;2245;4341
1903;3;4;2063;2166;4229
1903;3;5;2144;2426;4570
1903;3;6;2169;2447;4616
1903;3;7;2229;2638;4867
1903;3;8;2259;2663;4922
1903;3;9;2254;2633;4887
1903;4;0;2343;2868;5211
1903;4;1;2097;2734;4831
1903;4;2;2479;3069;5548
1903;4;3;2222;2967;5189
1903;4;4;2276;3020;5296
1903;4;5;2221;3077;5298
1903;4;6;2193;3031;5224
1903;4;7;2373;3072;5445
1903;4;8;2330;3150;5480
1903;4;9;2442;3126;5568
1903;5;0;2634;3469;6103
1903;5;1;2712;3510;6222
1903;5;2;3078;3998;7076
1903;5;3;3056;3776;6832
1903;5;4;3087;3804;6891
1903;5;5;3175;3780;6955
1903;5;6;3373;4081;7454
1903;5;7;3574;4335;7909
1903;5;8;3890;4565;8455
1903;5;9;3792;4796;8588
1903;6;0;4402;5368;9770
1903;6;1;4320;5090;9410
1903;6;2;4975;5817;10792
1903;6;3;5079;5906;10985
1903;6;4;5022;5827;10849
1903;6;5;5473;5987;11460
1903;6;6;5739;6224;11963
1903;6;7;6141;6721;12862
1903;6;8;6646;6956;13602
1903;6;9;6352;6530;12882
1903;7;0;7065;7059;14124
1903;7;1;6563;6737;13300
1903;7;2;7858;7696;15554
1903;7;3;7693;7718;15411
1903;7;4;7317;7352;14669
1903;7;5;7818;7462;15280
1903;7;6;7287;7044;14331
1903;7;7;7206;6828;14034
1903;7;8;7258;6589;13847
1903;7;9;6747;6281;13028
1903;8;0;6941;6064;13005
1903;8;1;5550;4940;10490
1903;8;2;5701;4924;10625
1903;8;3;5142;4272;9414
1903;8;4;4503;3637;8140
1903;8;5;3744;2841;6585
1903;8;6;3266;2367;5633
1903;8;7;2715;1964;4679
1903;8;8;2183;1450;3633
1903;8;9;1785;1275;3060
1903;9;0;1139;694;1833
1903;9;1;828;506;1334
1903;9;2;685;379;1064
1903;9;3;505;288;793
1903;9;4;252;210;462
1903;9;5;205;112;317
1903;9;6;162;74;236
1903;9;7;90;40;130
1903;9;8;67;34;101
1903;9;9;39;11;50
1903;10;0;31;10;41
1903;10;1;5;1;6
1903;10;2;4;0;4
1903;10;3;2;1;3
1903;10;4;3;1;4
1903;10;5;0;0;0
1903;10;6;0;0;0
1903;10;7;0;0;0
1903;10;8;0;0;0
1903;10;9;0;0;0
1903;11;0;0;0;0
1903;11;1;0;0;0
1903;11;2;0;0;0
1903;11;3;0;0;0
1903;11;4;0;0;0
1903;11;5;0;0;0
1903;11;6;0;0;0
1903;11;7;0;0;0
1903;11;8;0;0;0
1903;11;9;0;0;0
1904;   ;0;54946;68363;123309
1904;   ;1;10514;11344;21858
1904;   ;2;5494;5616;11110
1904;   ;3;3283;3340;6623
1904;   ;4;2360;2282;4642
1904;   ;5;1770;1674;3444
1904;   ;6;1433;1354;2787
1904;   ;7;1228;1237;2465
1904;   ;8;1169;1045;2214
1904;   ;9;981;946;1927
1904;1;0;882;929;1811
1904;1;1;954;786;1740
1904;1;2;1009;816;1825
1904;1;3;1093;864;1957
1904;1;4;1253;894;2147
1904;1;5;1385;1116;2501
1904;1;6;1621;1345;2966
1904;1;7;1714;1651;3365
1904;1;8;1844;1804;3648
1904;1;9;1920;1942;3862
1904;2;0;2091;2120;4211
1904;2;1;2080;2310;4390
1904;2;2;2185;2493;4678
1904;2;3;2229;2411;4640
1904;2;4;2202;2302;4504
1904;2;5;2193;2232;4425
1904;2;6;2312;2304;4616
1904;2;7;2212;2183;4395
1904;2;8;2294;2293;4587
1904;2;9;2179;2134;4313
1904;3;0;2208;2314;4522
1904;3;1;2080;2188;4268
1904;3;2;2102;2131;4233
1904;3;3;2000;2202;4202
1904;3;4;2101;2206;4307
1904;3;5;2011;2406;4417
1904;3;6;2079;2457;4536
1904;3;7;2192;2566;4758
1904;3;8;2308;2675;4983
1904;3;9;2110;2586;4696
1904;4;0;2413;2908;5321
1904;4;1;2156;2727;4883
1904;4;2;2262;2953;5215
1904;4;3;2261;2959;5220
1904;4;4;2254;3039;5293
1904;4;5;2348;3135;5483
1904;4;6;2251;3084;5335
1904;4;7;2306;3073;5379
1904;4;8;2378;3272;5650
1904;4;9;2290;3112;5402
1904;5;0;2467;3499;5966
1904;5;1;2550;3252;5802
1904;5;2;3092;3869;6961
1904;5;3;3124;4167;7291
1904;5;4;3199;3981;7180
1904;5;5;3290;3990;7280
1904;5;6;3370;4022;7392
1904;5;7;3405;4123;7528
1904;5;8;3986;4587;8573
1904;5;9;3844;4797;8641
1904;6;0;4546;5404;9950
1904;6;1;4231;5248;9479
1904;6;2;4954;5720;10674
1904;6;3;5128;5948;11076
1904;6;4;5256;6059;11315
1904;6;5;5373;6162;11535
1904;6;6;5772;6054;11826
1904;6;7;5917;6495;12412
1904;6;8;6719;7082;13801
1904;6;9;6625;6983;13608
1904;7;0;7208;7348;14556
1904;7;1;6729;6694;13423
1904;7;2;7426;7485;14911
1904;7;3;7763;7551;15314
1904;7;4;7976;7827;15803
1904;7;5;7669;7605;15274
1904;7;6;7552;7231;14783
1904;7;7;7216;6993;14209
1904;7;8;7514;6927;14441
1904;7;9;6750;6205;12955
1904;8;0;7123;6156;13279
1904;8;1;5686;4928;10614
1904;8;2;5765;4807;10572
1904;8;3;5231;4224;9455
1904;8;4;4971;3748;8719
1904;8;5;4125;3006;7131
1904;8;6;3167;2222;5389
1904;8;7;2772;1977;4749
1904;8;8;2294;1593;3887
1904;8;9;1762;1098;2860
1904;9;0;1353;881;2234
1904;9;1;852;512;1364
1904;9;2;686;372;1058
1904;9;3;474;275;749
1904;9;4;365;184;549
1904;9;5;240;99;339
1904;9;6;159;60;219
1904;9;7;94;36;130
1904;9;8;61;30;91
1904;9;9;36;17;53
1904;10;0;14;7;21
1904;10;1;9;1;10
1904;10;2;4;2;6
1904;10;3;4;1;5
1904;10;4;3;0;3
1904;10;5;0;0;0
1904;10;6;0;0;0
1904;10;7;0;0;0
1904;10;8;0;0;0
1904;10;9;0;0;0
1904;11;0;0;0;0
1904;11;1;0;0;0
1904;11;2;0;0;0
1904;11;3;0;0;0
1904;11;4;0;0;0
1904;11;5;0;0;0
1904;11;6;0;0;0
1904;11;7;0;0;0
1904;11;8;0;0;0
1904;11;9;0;0;0
1905;   ;0;50720;64126;114846
1905;   ;1;9340;10310;19650
1905;   ;2;5028;5454;10482
1905;   ;3;3294;3381;6675
1905;   ;4;2381;2430;4811
1905;   ;5;1788;1741;3529
1905;   ;6;1448;1345;2793
1905;   ;7;1259;1233;2492
1905;   ;8;1132;1041;2173
1905;   ;9;1027;960;1987
1905;1;0;958;846;1804
1905;1;1;931;881;1812
1905;1;2;1041;824;1865
1905;1;3;1111;827;1938
1905;1;4;1175;907;2082
1905;1;5;1414;1116;2530
1905;1;6;1522;1314;2836
1905;1;7;1697;1602;3299
1905;1;8;1702;1785;3487
1905;1;9;1956;1877;3833
1905;2;0;1997;2122;4119
1905;2;1;1992;2250;4242
1905;2;2;2190;2482;4672
1905;2;3;2229;2347;4576
1905;2;4;2189;2209;4398
1905;2;5;2177;2267;4444
1905;2;6;2162;2226;4388
1905;2;7;2358;2336;4694
1905;2;8;2211;2278;4489
1905;2;9;2150;2357;4507
1905;3;0;2237;2416;4653
1905;3;1;2235;2255;4490
1905;3;2;2313;2510;4823
1905;3;3;2009;2161;4170
1905;3;4;2053;2364;4417
1905;3;5;2177;2455;4632
1905;3;6;2212;2454;4666
1905;3;7;2145;2575;4720
1905;3;8;2133;2876;5009
1905;3;9;2224;2842;5066
1905;4;0;2373;3016;5389
1905;4;1;2276;2910;5186
1905;4;2;2561;3201;5762
1905;4;3;2399;3121;5520
1905;4;4;2496;3235;5731
1905;4;5;2515;3548;6063
1905;4;6;2450;3517;5967
1905;4;7;2481;3380;5861
1905;4;8;2523;3409;5932
1905;4;9;2566;3457;6023
1905;5;0;2746;3716;6462
1905;5;1;2576;3714;6290
1905;5;2;3111;4102;7213
1905;5;3;2999;4186;7185
1905;5;4;3333;4395;7728
1905;5;5;3431;4483;7914
1905;5;6;3617;4533;8150
1905;5;7;3623;4541;8164
1905;5;8;3894;4765;8659
1905;5;9;3974;5019;8993
1905;6;0;4767;5594;10361
1905;6;1;4537;5624;10161
1905;6;2;5133;6051;11184
1905;6;3;5309;6299;11608
1905;6;4;5631;6408;12039
1905;6;5;6026;6732;12758
1905;6;6;5939;6594;12533
1905;6;7;6150;6649;12799
1905;6;8;6512;7095;13607
1905;6;9;6885;7387;14272
1905;7;0;7620;7853;15473
1905;7;1;7025;7117;14142
1905;7;2;7733;7459;15192
1905;7;3;7443;7338;14781
1905;7;4;7996;7683;15679
1905;7;5;8408;7947;16355
1905;7;6;7547;7086;14633
1905;7;7;7590;7195;14785
1905;7;8;7588;6957;14545
1905;7;9;6814;6406;13220
1905;8;0;7140;6092;13232
1905;8;1;6042;5233;11275
1905;8;2;5845;4883;10728
1905;8;3;4958;4213;9171
1905;8;4;4664;3850;8514
1905;8;5;4121;3305;7426
1905;8;6;3364;2422;5786
1905;8;7;2622;1814;4436
1905;8;8;2226;1517;3743
1905;8;9;1825;1240;3065
1905;9;0;1399;917;2316
1905;9;1;1005;582;1587
1905;9;2;746;436;1182
1905;9;3;505;282;787
1905;9;4;526;179;705
1905;9;5;262;150;412
1905;9;6;177;77;254
1905;9;7;119;39;158
1905;9;8;50;30;80
1905;9;9;47;26;73
1905;10;0;15;10;25
1905;10;1;3;3;6
1905;10;2;2;1;3
1905;10;3;1;1;2
1905;10;4;0;0;0
1905;10;5;1;2;3
1905;10;6;0;0;0
1905;10;7;0;0;0
1905;10;8;0;0;0
1905;10;9;0;0;0
1905;11;0;0;0;0
1905;11;1;0;0;0
1905;11;2;0;0;0
1905;11;3;0;0;0
1905;11;4;0;0;0
1905;11;5;0;0;0
1905;11;6;0;0;0
1905;11;7;0;0;0
1905;11;8;0;0;0
1905;11;9;0;0;0
1906;   ;0;53734;67147;120881
1906;   ;1;10262;11195;21457
1906;   ;2;5232;5585;10817
1906;   ;3;3262;3457;6719
1906;   ;4;2505;2374;4879
1906;   ;5;1782;1801;3583
1906;   ;6;1517;1425;2942
1906;   ;7;1250;1197;2447
1906;   ;8;1134;975;2109
1906;   ;9;1025;966;1991
1906;1;0;937;865;1802
1906;1;1;936;844;1780
1906;1;2;1026;862;1888
1906;1;3;1054;888;1942
1906;1;4;1175;944;2119
1906;1;5;1411;1145;2556
1906;1;6;1546;1404;2950
1906;1;7;1676;1626;3302
1906;1;8;1814;1882;3696
1906;1;9;1823;2001;3824
1906;2;0;1972;2071;4043
1906;2;1;2027;2334;4361
1906;2;2;2106;2545;4651
1906;2;3;2170;2401;4571
1906;2;4;2203;2273;4476
1906;2;5;2190;2263;4453
1906;2;6;2203;2188;4391
1906;2;7;2203;2336;4539
1906;2;8;2242;2222;4464
1906;2;9;2268;2210;4478
1906;3;0;2307;2473;4780
1906;3;1;2144;2427;4571
1906;3;2;2335;2518;4853
1906;3;3;2306;2549;4855
1906;3;4;2050;2230;4280
1906;3;5;2111;2487;4598
1906;3;6;2216;2500;4716
1906;3;7;2129;2528;4657
1906;3;8;2202;2774;4976
1906;3;9;2186;2831;5017
1906;4;0;2352;3075;5427
1906;4;1;2231;2920;5151
1906;4;2;2547;3206;5753
1906;4;3;2491;3266;5757
1906;4;4;2512;3204;5716
1906;4;5;2573;3478;6051
1906;4;6;2631;3547;6178
1906;4;7;2551;3538;6089
1906;4;8;2694;3644;6338
1906;4;9;2588;3494;6082
1906;5;0;2716;3841;6557
1906;5;1;2691;3664;6355
1906;5;2;2959;3948;6907
1906;5;3;3069;4157;7226
1906;5;4;3187;4378;7565
1906;5;5;3442;4601;8043
1906;5;6;3730;4629;8359
1906;5;7;3821;4733;8554
1906;5;8;4031;4785;8816
1906;5;9;3690;4620;8310
1906;6;0;4669;5697;10366
1906;6;1;4479;5751;10230
1906;6;2;5123;6168;11291
1906;6;3;5205;6115;11320
1906;6;4;5344;6551;11895
1906;6;5;6021;7070;13091
1906;6;6;5963;6752;12715
1906;6;7;6070;6844;12914
1906;6;8;6535;7139;13674
